key,code,executionDate,type,correctiveActions,link,key:auditor,key:project
codeAudit-01,ABC-123,2010/12/11 23:00,STATIC,No changes needed,https://www.audit.org,auditor-01,project-01
codeAudit-02,DEF-456,2011/05/20 15:30,DYNAMIC,Code optimizations recommended,https://www.audit.org,auditor-01,project-01
codeAudit-03,GHI-789,2012/08/03 10:45,STATIC,Minor code refactor required,https://www.audit.org/login,auditor-02,project-02
codeAudit-04,JKL-012,2013/02/17 08:20,DYNAMIC,77gjfr8tCJTeGCgQBpFfP7m5Jhix2F2SkUy4vCK4O3DeQNAyGUMhNcKxU0wa9Ba5Bsbnv90BG17FHLAuPdV1Pg7z9ukwyuuTOF,,auditor-02,project-01
codeAudit-05,MNO-345,2014/09/30 14:15,STATIC,.,https://www.audit.org,auditor-01,project-01
codeAudit-06,PQR-678,2015/11/22 19:55,DYNAMIC,Performance improvements suggested,,auditor-02,project-02
codeAudit-07,STU-901,2016/04/08 12:10,STATIC,i,,auditor-01,project-01
codeAudit-08,VWX-234,2017/07/14 17:40,DYNAMIC,Code review recommended,https://www.audit.org,auditor-02,project-05
codeAudit-09,YZA-567,2018/10/19 21:25,STATIC,"The quick brown fox jumps over the lazy dog, making a swift escape through the dense forest under me",https://www.audit.org,auditor-01,project-04
codeAudit-10,XXX-890,2019/12/05 07:05,DYNAMIC,Memory optimization required,https://www.audit.org,auditor-02,project-03
codeAudit-11,XXX-891,2000/01/01 00:00,DYNAMIC,Memory optimization required,https://www.audit.org,auditor-02,project-03
codeAudit-12,XXX-892,2001/01/01 00:00,DYNAMIC,Memory optimization required,https://www.audit.org,auditor-02,project-03
codeAudit-13,XXX-893,2022/07/30 00:00,DYNAMIC,Memory optimization required,https://www.audit.org,auditor-02,project-03
codeAudit-14,XXX-894,2022/07/26 07:00,DYNAMIC,Memory optimization required,https://www.audit.org,auditor-02,project-03
codeAudit-15,XXX-895,2022/07/26 07:00,DYNAMIC,77gjfr8tCJTeGCgQBpFfP7m5Jhix2F2SkUy4vCK4O3DeQNAyGUMhNcKxU0wa9Ba5Bsbnv90BG17FHLAuPdV1Pg7z9ukwyuuTOF,https://www.audit.org,auditor-02,project-03
codeAudit-16,XXX-896,2022/07/26 07:00,DYNAMIC,Поиск информации,https://www.audit.org,auditor-02,project-03
codeAudit-17,XXX-897,2022/07/26 07:00,DYNAMIC,Поиск информации,,auditor-02,project-03
codeAudit-18,XXX-898,2022/07/26 07:00,STATIC,Поиск информации,,auditor-02,project-03
codeAudit-19,ABC-012,2022/07/26 07:00,STATIC,Поиск информации,,auditor-02,project-03
codeAudit-20,XYZ-789,2022/07/26 07:00,STATIC,Поиск информации,,auditor-02,project-03
codeAudit-21,XYZ-790,2022/07/26 07:00,STATIC,Поиск информации,https://seattletimes.com/odio/in/hac/habitasse/platea/dictumst/maecenas.xml?aliquam=sit&augue=amet&quam=consectetuer&sollicitudin=adipiscing&vitae=elit&co=mauris&at=non&lorem=ligula&integer=pellentesque&tinciduntolestie&commodo=hendrerit&asepdsdfs/sdfe/sf,auditor-02,project-03
